ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
4547,3333046,Active,320436,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Flatbush Avenue,W,Avenue P,Quentin Road,40.6182775781515,-73.9322583483233,1003056.48435664,164538.848137558,POINT (-73.932258348323 40.618277578152),13825,5,2,8,38
5611,3223016,Active,304019,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Manhattan Avenue,E,Nassau Avenue,Norman Avenue,40.7250645183461,-73.9514512727336,997706.56953156,203440.832341313,POINT (-73.951451272734 40.725064518346),18182,36,2,38,57
10651,1453268,Active,106328,3HR Com Mon-Fri 0700-1900,,On Street,Manhattan,Park Avenue South,W,East 21 Street,East 20 Street,40.738719398922,-73.9875791049785,987692.075781047,208412.24759531,POINT (-73.987579104978 40.738719398922),12073,11,4,50,7
567,1058318,Active,112861,2HR PAS Mon-Fri 1300-2200 / 2HR PAS Sat 0900-2200,,On Street,Manhattan,West 181 Street,N,Audubon Avenue,St. Nicholas Avenue,40.8490132597783,-73.9328181011294,1002836.61307722,248603.008420974,POINT (-73.932818101129 40.849013259778),13091,47,4,39,22
6493,2173046,Active,204503,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,Guerlain Street,S,Archer Road,Unionport Road,40.8402931630124,-73.8629129900043,1022181.59308797,245448.502262816,POINT (-73.862912990004 40.840293163012),11271,58,5,31,26
7967,2021629,Active,219533,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,Morris Avenue,W,Park Avenue,East 153 Street,40.8211049686646,-73.9211620994723,1006070.52491647,238437.675405234,POINT (-73.921162099472 40.821104968665),10929,49,5,43,23
13931,3013083,Active,303343,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Dekalb Avenue,S,Fort Greene Place,St Felix Street,40.6897361083948,-73.9775859423276,990465.9452333,190566.695688054,POINT (-73.977585942328 40.689736108395),17619,68,2,48,55
3902,4391228,Active,465086,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,84 Street,E,32 Avenue,Northern Boulevard,40.7560256153031,-73.8835033609305,1016525.12900722,214738.674903065,POINT (-73.88350336093 40.756025615303),14781,65,3,5,73
2667,4081955,Active,411832,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,162 Street,E,89 Avenue,Jamaica Avenue,40.7048878030633,-73.7979803467082,1040262.02018164,196150.699939981,POINT (-73.797980346708 40.704887803063),24340,41,3,24,61
2067,4081945,Active,426478,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,160 Street,E,Jamaica Avenue,90 Avenue,40.7049519973561,-73.799855821662,1039741.97299339,196172.894121304,POINT (-73.799855821662 40.704951997356),24340,41,3,24,61
5940,3283026,Active,310255,2HR Pas Mon-Thur 0800-1600 / 4HR Pas Fri 0800-1900,,On Street,Brooklyn,Lee Avenue,E,Hewes Street,Penn Street,40.7033911043914,-73.957260278536,996100.302074805,195543.710340306,POINT (-73.957260278536 40.703391104391),17613,36,2,38,56
3199,4221276,Active,406559,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Junction Boulevard,W,40 Road,41 Avenue,40.7485630145854,-73.8691041772299,1020518.4500888,212025.444437146,POINT (-73.86910417723 40.748563014585),14510,66,3,21,68
5081,3113039,Active,312810,2 HR Pas 0900-1900 Mon-Thur / 4HR Pas 0900-1900 Fri,,On Street,Brooklyn,40 Street,S,12 Avenue,13 Avenue,40.6401510316699,-73.9870967744572,987831.028915226,172500.923420727,POINT (-73.987096774457 40.64015103167),17620,2,2,27,39
13770,3723004,Active,342831,5HR Pas Mon-Sat 0700-2400,Brighton Beach,Off Street,Brooklyn,Brightwater Court,S,Brighton 2 Street,Brighton 4 Street,40.5753748343495,-73.963757246165,994318.206229553,148903.094960317,POINT (-73.963757246165 40.57537483435),13826,21,2,15,35
9835,1443379,Active,101983,3HR Com Mon-Fri 0800-1800,,On Street,Manhattan,West 31 Street,S,5 Avenue,Broadway,40.7473621399405,-73.9880152386465,987570.783700809,211561.0565864,POINT (-73.988015238646 40.747362139941),11722,11,4,51,8
